alert_type,is_critical,vbt,vct,vmt,vbv,vbc,soc,speed
Low SoC,1,42.83,51.3,50.16,45.1,-23.59,2.47,11.25
Harsh Braking,0,38.34,44.08,55.19,69.54,-11.56,66.81,23.03
Low SoC,1,34.87,45.32,60.33,50.06,-30.78,19.19,12.27
Low SoC,1,47.41,54.94,77.19,50.25,-60.88,18.17,4.57
Harsh Acceleration,0,33.15,44.98,36.59,67.67,13.72,57.12,32.65
Low SoC,1,39.77,54.58,58.89,46.11,-48.13,5.05,0.86
Low SoC,1,33.17,35.8,63.72,46.75,-40.28,2.74,8.82
Low SoC,1,47.81,62.58,61.32,47.07,-21.83,12.96,9.12
Deep Discharge Warning,1,52.55,65.39,80.3,47.56,-34.79,11.8,9.73
Thermal Overheat Surge,1,47.7,59.77,78.61,45.33,-64.35,3.32,12.52
OverSpeed,0,32.37,41.84,42.71,67.87,-18.08,58.58,38.76
Harsh Cornering,0,31.55,35.94,41.77,70.79,-3.64,65.01,28.85
Harsh Braking,0,25.11,32.65,34.29,69.45,15.5,60.22,47.78
Thermal Overheat Surge,1,40.17,49.88,76.95,46.07,-32.75,10.15,3.23
Deep Discharge Warning,1,37.41,54.62,65.12,44.06,-25.16,2.28,8.94
Harsh Cornering,0,28.08,34.47,31.87,64.67,-32.15,46.33,25.87
Low SoC,1,34.77,47.29,63.92,46.45,-58.9,14.02,2.8
Harsh Acceleration,0,31.52,38.89,39.81,78.53,-5.31,96.11,15.1
Consecutive Fast Charging,1,39.25,60.9,64.66,47.68,-67.57,20.34,22.29
Harsh Cornering,0,29.29,35.18,44.21,73.19,-28.88,73.92,51.42
Harsh Acceleration,0,25.7,31.14,40.19,64.77,-0.48,43.49,36.66
Deep Discharge Warning,1,37.72,49.01,57.44,47.01,-32.08,11.21,28.34
Low SoC,1,34.79,43.57,55.66,44.46,-56.61,0.98,13.65
OverSpeed,0,31.98,38.61,41.7,66.6,6.11,49.16,20.85
Harsh Acceleration,0,28.96,34.22,34.46,63.27,-32.29,44.17,29.95
Deep Discharge Warning,1,56.04,68.58,76.48,43.87,-49.82,7.12,32.84
Harsh Acceleration,0,28.8,37.12,37.32,77.23,-2.74,93.33,42.53
OverSpeed,0,21.56,23.09,29.78,67.12,-1.64,53.84,33.64
Harsh Braking,0,26.46,35.23,39.3,77.31,-17.92,89.91,57.6
Harsh Braking,0,28.72,33.82,46.66,70.78,-4.42,67.57,24.65
Harsh Braking,0,24.47,28.66,36.36,72.68,-22.11,70.68,21.27
Harsh Acceleration,0,25.98,30.53,46.14,77.9,-25.83,93.25,29.48
Harsh Braking,0,34.1,40.8,45.93,62.2,-7.62,40.64,37.24
Battery Under Voltage,1,62.28,72.69,97.27,46.23,-15.67,6.29,4.26
Low SoC,1,38.6,48.48,68.36,47.88,-37.73,10.68,1.05
Battery Under Voltage,1,36.91,48.39,57.59,45.59,-58.85,6.98,11.51
Battery Under Voltage,1,47.19,66.33,65.78,46.2,-35.9,2.15,9.25
Harsh Acceleration,0,29.46,36.63,43.4,68.8,-8.76,60.59,35.84
Harsh Braking,0,30.69,37.05,38.27,64.63,-7.17,51.29,11.19
Harsh Cornering,0,30.79,38.35,45.03,76.13,-24.97,87.49,11.22
OverSpeed,0,31.6,39.33,50.79,78.86,-25.5,96.81,49.82
Harsh Acceleration,0,23.09,28.59,36.52,69.46,-18.19,61.74,14.82
Harsh Braking,0,33.81,39.63,42.19,77.42,-9.6,90.76,32.91
Harsh Acceleration,0,33.41,37.56,48.31,67.17,-7.45,51.21,33.35
Battery Under Voltage,1,47.49,56.69,70.39,46.24,-23.64,10.12,11.33
Harsh Acceleration,0,36.61,43.45,49.84,72.35,-17.16,71.11,43.6
OverSpeed,0,27.41,30.17,33.99,75.57,-15.02,82.83,34.92
Harsh Acceleration,0,24.24,29.64,34.32,72.64,-16.64,74.07,27.9
Battery Under Voltage,1,40.97,51.48,59.65,44.37,-39.85,4.77,0.7
Low SoC,1,42.1,51.52,61.41,46.35,-57.74,0.65,6.85
Low SoC,1,41.0,54.39,57.66,44.84,-61.55,2.32,21.13
Consecutive Fast Charging,1,36.82,51.15,67.19,44.78,-44.41,8.37,22.35
Harsh Acceleration,0,22.26,27.92,36.7,73.1,-6.91,73.83,18.78
Harsh Braking,0,32.08,43.72,43.82,69.85,-14.15,65.73,48.18
Harsh Acceleration,0,30.67,37.16,36.15,72.77,2.8,77.1,32.9
Harsh Cornering,0,35.06,38.38,50.4,71.21,-24.54,72.81,43.03
Harsh Braking,0,31.16,34.56,39.32,76.39,-32.59,80.82,21.27
Deep Discharge Warning,1,39.34,47.83,73.05,46.27,-28.25,2.51,26.75
OverSpeed,0,31.15,36.05,40.78,75.24,-18.29,83.41,31.72
Deep Discharge Warning,1,35.04,41.6,69.51,49.98,-34.19,19.91,17.65
Low SoC,1,52.62,69.09,70.54,48.47,-23.9,11.73,1.51
Harsh Braking,0,31.63,38.65,44.96,62.44,-25.43,42.2,31.05
Deep Discharge Warning,1,41.43,44.83,77.55,47.65,-46.82,6.63,7.6
Harsh Cornering,0,29.73,33.25,38.55,78.48,-20.24,91.57,35.16
Harsh Braking,0,30.23,38.11,35.74,74.87,-19.8,85.46,34.94
Deep Discharge Warning,1,45.9,57.01,66.21,47.98,-20.96,17.99,36.35
Harsh Cornering,0,34.15,40.54,43.44,75.3,-24.62,81.75,14.56
Deep Discharge Warning,1,43.26,57.15,61.76,44.87,-58.97,4.98,0.32
Deep Discharge Warning,1,35.25,45.71,56.99,48.58,-27.35,13.46,2.26
Low SoC,1,48.85,63.23,85.52,47.18,-18.17,11.74,16.26
OverSpeed,0,29.62,35.63,38.18,63.86,-16.76,41.05,33.81
Harsh Acceleration,0,35.28,38.57,57.46,65.21,-19.5,45.79,24.31
Deep Discharge Warning,1,31.1,44.78,41.96,46.39,-73.2,8.19,11.57
Deep Discharge Warning,1,40.13,53.36,75.14,48.24,-65.87,11.16,30.62
Deep Discharge Warning,1,35.35,47.72,53.5,46.2,-48.69,3.99,3.59
Harsh Cornering,0,29.61,34.94,43.02,67.35,-13.38,56.67,25.76
Harsh Cornering,0,32.43,41.67,40.12,62.94,-31.7,44.12,28.26
Low SoC,1,35.01,44.84,57.07,47.06,-72.27,6.28,4.03
Battery Under Voltage,1,37.14,51.8,56.64,42.87,-20.93,4.32,3.71
Harsh Braking,0,31.92,36.61,43.43,76.83,-13.86,86.15,59.32
Low SoC,1,33.38,40.13,63.36,46.65,-52.97,9.35,4.29
Deep Discharge Warning,1,47.58,57.53,58.72,47.4,-57.06,3.99,23.26
Harsh Acceleration,0,29.61,36.49,41.91,77.35,-32.43,90.45,30.71
Low SoC,1,35.55,50.37,49.48,46.13,-47.91,5.95,9.12
Harsh Acceleration,0,30.11,39.46,45.2,68.85,0.63,64.34,27.89
Consecutive Fast Charging,1,35.73,45.47,62.3,46.97,-48.05,13.77,1.97
Harsh Cornering,0,17.34,22.81,29.73,76.29,-1.0,87.2,31.23
Harsh Cornering,0,35.91,43.04,46.64,63.81,-38.76,41.88,49.44
Harsh Braking,0,37.64,48.15,48.64,68.7,3.92,59.38,9.75
Harsh Acceleration,0,32.39,35.5,36.71,77.73,-4.68,94.82,29.45
Deep Discharge Warning,1,47.61,61.45,77.46,47.31,-43.06,11.66,4.01
Harsh Braking,0,36.66,40.21,42.19,77.29,-6.87,88.8,45.8
Battery Under Voltage,1,44.03,59.42,69.7,49.82,-40.91,19.06,1.01
Consecutive Fast Charging,1,25.62,37.94,48.39,46.17,-27.49,7.91,9.91
Battery Under Voltage,1,37.5,43.7,77.53,43.47,-62.61,6.93,20.21
Deep Discharge Warning,1,38.89,54.53,64.87,43.11,-68.99,2.1,6.14
Consecutive Fast Charging,1,49.47,52.74,73.3,47.45,-39.5,15.77,30.29
Harsh Acceleration,0,29.18,35.55,50.46,69.68,-15.11,65.81,20.57
Battery Under Voltage,1,35.92,41.89,50.84,47.92,-43.18,17.83,7.73
Harsh Braking,0,28.97,35.34,33.88,77.99,2.84,92.17,25.85
Harsh Cornering,0,30.79,39.27,42.87,65.51,-24.93,49.86,0.0
Low SoC,1,44.35,60.72,57.02,47.06,-37.48,9.18,15.24
Low SoC,1,42.46,51.98,69.46,46.15,-67.79,5.09,10.23
Low SoC,1,35.89,46.31,66.37,46.12,-39.09,0.4,1.53
Harsh Braking,0,33.74,38.75,52.53,80.18,-21.57,96.65,27.64
Low SoC,1,57.92,72.88,80.12,46.26,-53.26,6.1,10.89
Consecutive Fast Charging,1,54.96,63.96,76.41,44.39,-30.04,1.38,1.16
Deep Discharge Warning,1,46.16,60.73,65.99,46.91,-34.95,9.34,6.81
Battery Under Voltage,1,51.41,55.06,82.15,45.24,-16.14,9.13,26.8
OverSpeed,0,32.89,40.07,53.3,64.62,-19.91,45.22,35.49
OverSpeed,0,30.23,33.74,47.21,71.25,-18.8,68.9,21.94
Harsh Acceleration,0,36.28,43.26,46.58,63.92,13.53,42.39,41.53
Deep Discharge Warning,1,49.76,71.24,67.02,46.34,-38.45,4.94,1.66
Low SoC,1,37.8,54.1,62.64,47.23,-62.09,9.03,7.94
Harsh Acceleration,0,29.82,36.22,44.18,69.06,-18.95,60.21,9.4
Deep Discharge Warning,1,30.63,35.19,58.22,45.1,-34.51,5.95,33.54
Low SoC,1,47.87,56.9,72.21,44.59,-28.6,2.33,16.04
Harsh Acceleration,0,29.37,40.39,50.46,69.11,-21.66,65.09,34.74
Low SoC,1,49.85,61.34,72.72,45.48,-26.51,7.44,11.34
Deep Discharge Warning,1,41.7,47.16,69.69,47.71,-60.24,5.94,18.79
Deep Discharge Warning,1,46.21,59.84,71.05,46.6,-68.7,6.51,7.56
Battery Under Voltage,1,33.86,46.95,67.32,48.75,-43.31,10.99,13.21
Harsh Cornering,0,28.27,30.26,37.31,71.35,5.59,63.78,47.16
Battery Under Voltage,1,43.15,59.81,61.28,47.58,-27.33,8.15,2.27
OverSpeed,0,33.45,39.07,47.79,74.53,-17.96,80.5,35.58
OverSpeed,0,23.99,30.87,28.12,76.04,-23.8,90.47,18.22
Thermal Overheat Surge,1,37.85,53.01,53.57,46.61,-50.74,10.94,4.41
OverSpeed,0,36.95,45.46,43.54,68.92,-12.2,67.6,26.43
Harsh Cornering,0,34.15,39.64,44.15,75.56,-8.23,79.73,41.3
Consecutive Fast Charging,1,43.98,55.79,66.66,46.03,-42.69,6.26,1.79
Harsh Acceleration,0,33.28,39.67,53.03,72.22,-10.28,72.07,52.09
Harsh Braking,0,29.46,36.42,45.1,69.94,-10.29,65.77,28.47
Battery Under Voltage,1,45.75,53.77,65.75,45.67,-56.83,2.76,1.3
OverSpeed,0,26.61,30.13,39.4,72.45,-12.21,72.96,36.29
Harsh Braking,0,26.62,35.38,33.56,75.91,-16.21,88.67,23.06
Harsh Braking,0,21.92,25.94,29.38,72.55,-16.8,74.67,23.47
Harsh Braking,0,30.72,35.93,40.03,72.22,-20.89,73.96,18.24
Deep Discharge Warning,1,41.97,52.95,61.85,48.6,-93.32,9.74,4.65
Harsh Acceleration,0,27.46,31.12,47.88,65.24,-23.74,49.17,25.34
Harsh Acceleration,0,25.34,33.12,40.26,69.44,-30.09,61.08,25.82
Harsh Cornering,0,28.41,26.73,34.78,73.69,-27.77,78.74,44.17
Low SoC,1,32.99,46.43,49.81,47.34,-50.36,9.82,5.24
Harsh Acceleration,0,25.2,31.38,31.91,75.02,-12.66,82.49,13.89
Low SoC,1,35.41,52.83,64.26,44.27,-46.0,0.86,0.81
Harsh Acceleration,0,35.43,42.36,48.56,66.82,-35.83,48.72,30.09
Harsh Braking,0,31.66,37.42,37.07,72.9,-14.44,75.34,23.69
Harsh Braking,0,32.51,39.05,41.33,63.4,-34.02,41.14,46.52
Low SoC,1,40.27,56.1,52.87,49.6,-27.42,15.14,26.9
Low SoC,1,34.71,46.83,62.64,48.29,-58.23,9.4,15.55
Consecutive Fast Charging,1,42.53,57.24,55.46,44.6,-28.59,4.55,9.73
Harsh Braking,0,37.62,44.8,49.76,70.65,-7.58,60.44,39.0
Harsh Cornering,0,30.52,32.91,39.96,78.8,-19.37,93.52,25.86
Low SoC,1,45.02,63.07,75.76,48.64,-54.52,14.86,2.72
Battery Under Voltage,1,50.13,59.0,87.11,45.84,-41.73,7.2,24.84
Harsh Braking,0,30.77,38.06,37.91,71.95,-13.57,67.96,30.05
Low SoC,1,53.12,71.28,73.38,47.1,-49.33,8.93,26.14
Consecutive Fast Charging,1,40.47,51.68,74.75,47.66,-56.23,6.03,9.31
Harsh Acceleration,0,32.9,41.6,47.54,76.36,-14.62,82.26,44.81
Low SoC,1,38.77,44.59,59.52,45.73,-35.05,8.5,1.53
Harsh Acceleration,0,25.34,30.96,36.17,65.61,-4.21,44.13,47.72
OverSpeed,0,30.23,31.82,43.31,72.82,-25.98,80.41,24.72
Harsh Acceleration,0,39.12,46.0,49.86,71.23,0.25,67.73,35.18
Harsh Cornering,0,32.89,42.47,47.2,74.46,-2.17,77.56,40.03
Deep Discharge Warning,1,45.68,55.46,76.76,48.04,-57.89,13.31,8.68
Harsh Acceleration,0,29.29,31.35,41.54,64.16,-13.1,45.21,19.87
Low SoC,1,37.09,50.16,61.9,48.33,-30.68,18.12,0.77
Deep Discharge Warning,1,47.02,60.26,81.73,45.99,-53.09,2.24,11.8
Deep Discharge Warning,1,43.98,55.19,79.01,48.75,-35.45,17.53,8.31
Low SoC,1,49.34,62.09,67.24,46.58,-59.47,3.83,40.25
Low SoC,1,45.09,51.73,72.15,46.37,-16.03,10.7,6.3
Harsh Cornering,0,30.06,35.95,46.56,67.72,-21.01,53.47,21.53
Consecutive Fast Charging,1,41.31,56.0,66.05,47.16,-52.0,3.57,12.28
Harsh Braking,0,29.38,32.58,43.33,78.86,-20.17,97.33,39.6
Harsh Braking,0,31.16,33.4,45.36,65.29,-10.32,46.78,39.88
Low SoC,1,32.47,39.85,64.09,44.31,-61.0,8.37,9.4
Deep Discharge Warning,1,47.17,55.97,77.64,50.47,-47.84,14.29,38.27
Low SoC,1,42.69,53.7,70.4,46.51,-34.69,7.56,4.17
Harsh Braking,0,27.71,32.09,37.73,77.26,-19.57,93.92,45.67
OverSpeed,0,26.89,30.47,40.35,73.23,-25.51,76.83,0.0
Battery Under Voltage,1,45.55,53.27,60.44,46.27,-54.36,4.78,2.93
Consecutive Fast Charging,1,34.34,47.76,47.43,45.53,-64.19,3.47,22.0
Deep Discharge Warning,1,43.93,61.82,61.56,44.77,-43.46,5.47,5.18
Harsh Braking,0,24.13,31.29,42.58,75.17,-26.9,83.96,48.37
Harsh Braking,0,32.67,38.11,48.43,71.5,0.53,70.37,20.73
Deep Discharge Warning,1,36.09,46.3,63.35,44.06,-62.99,2.05,15.25
Low SoC,1,41.78,48.52,64.66,48.43,-13.82,12.1,2.21
Low SoC,1,50.19,61.99,63.3,48.12,-28.22,8.68,6.91
Battery Under Voltage,1,36.78,52.13,47.97,49.04,-29.71,15.73,12.42
Harsh Braking,0,30.14,39.39,36.0,64.27,-24.85,43.72,0.0
OverSpeed,0,33.46,40.45,40.24,72.44,-6.96,79.57,24.76
Harsh Acceleration,0,23.65,31.12,38.08,75.42,-19.49,82.82,36.33
Harsh Acceleration,0,34.06,41.08,45.84,75.09,-11.71,81.18,33.21
Consecutive Fast Charging,1,57.88,68.46,84.61,45.2,-40.14,12.7,24.73
Harsh Braking,0,32.85,38.6,40.6,66.08,-12.38,53.25,33.73
Low SoC,1,53.02,61.55,85.71,46.38,-53.0,10.25,3.59
Consecutive Fast Charging,1,44.49,56.79,70.73,43.48,-19.93,2.09,5.7
Consecutive Fast Charging,1,34.9,52.19,45.49,48.1,-32.4,4.77,26.27
OverSpeed,0,26.42,35.96,43.31,74.75,-17.23,81.08,23.94
Deep Discharge Warning,1,46.71,55.57,68.12,42.72,-40.46,2.77,31.12
OverSpeed,0,31.82,37.92,45.9,68.35,-29.37,60.18,41.09
Harsh Braking,0,31.76,34.44,39.95,70.45,-21.45,70.37,15.34
Deep Discharge Warning,1,46.56,58.88,49.66,47.08,-47.63,12.9,1.88
Harsh Braking,0,33.57,37.53,46.28,75.19,-17.88,79.77,28.86
Harsh Acceleration,0,30.56,35.14,36.0,66.16,-13.06,53.11,39.78
Low SoC,1,35.51,45.63,57.13,47.86,-41.76,5.53,24.24
Battery Under Voltage,1,45.25,51.07,61.65,47.87,-48.32,12.43,6.29
Harsh Acceleration,0,34.77,39.17,44.6,63.75,-12.86,42.71,28.97
Harsh Braking,0,23.17,29.93,38.68,72.45,-3.69,74.21,28.93
Battery Under Voltage,1,44.79,55.74,70.8,45.1,-28.84,6.54,34.19
Low SoC,1,41.43,49.26,62.19,45.41,-65.12,5.63,5.67
Harsh Braking,0,25.38,31.97,35.93,66.12,-12.62,52.4,53.14
Harsh Cornering,0,21.81,27.29,36.74,74.56,-19.85,76.8,10.47
Battery Under Voltage,1,33.66,45.31,70.75,46.01,-60.46,7.23,34.36
Harsh Acceleration,0,27.48,31.12,29.51,63.42,-16.48,40.61,34.24
Harsh Cornering,0,33.6,37.39,48.57,71.8,-23.37,70.1,49.85
Battery Under Voltage,1,40.72,49.31,56.58,47.71,-45.78,17.16,36.32
Harsh Braking,0,26.56,34.56,35.22,63.15,-12.57,41.06,26.16
Deep Discharge Warning,1,46.7,63.91,75.03,47.02,-36.29,11.85,19.74
Low SoC,1,56.0,62.25,73.69,46.2,-33.57,8.32,20.73
Battery Under Voltage,1,33.27,46.72,60.35,47.0,-51.32,11.56,0.81
Battery Under Voltage,1,37.87,49.31,62.76,44.23,-36.32,6.74,4.54
Low SoC,1,43.66,54.85,72.37,49.24,-48.06,18.45,11.17
Consecutive Fast Charging,1,35.8,53.64,69.89,48.88,-62.88,5.93,4.09
Harsh Cornering,0,30.7,33.71,42.24,74.11,-17.33,77.97,33.17
Harsh Braking,0,35.22,43.05,52.94,70.56,-20.6,69.49,39.41
Low SoC,1,40.52,53.64,79.91,45.7,-59.53,7.87,4.29
Low SoC,1,40.69,54.39,74.69,47.82,-29.68,10.06,13.12
Harsh Cornering,0,29.98,36.97,36.81,72.68,-10.3,74.72,41.5
Deep Discharge Warning,1,37.53,50.04,57.3,47.48,-44.54,6.94,0.16
Harsh Braking,0,30.2,36.95,43.04,70.97,-29.89,73.57,20.24
OverSpeed,0,23.78,37.0,51.73,69.57,-15.72,65.09,33.58
Consecutive Fast Charging,1,36.34,44.0,62.77,47.4,-29.71,6.69,17.19
Battery Under Voltage,1,46.53,51.92,83.11,45.11,-56.66,3.74,14.19
Harsh Acceleration,0,31.46,37.27,47.12,70.99,-10.03,67.86,37.77
Harsh Braking,0,30.52,36.94,41.02,78.28,-40.31,90.8,6.52
Consecutive Fast Charging,1,42.22,50.44,62.71,46.44,-71.95,12.85,12.53
Harsh Acceleration,0,28.75,34.46,47.27,75.12,-34.35,86.28,42.08
Battery Under Voltage,1,31.9,46.41,56.32,48.18,-46.06,9.46,0.1
Harsh Braking,0,29.85,37.57,41.52,65.1,-18.95,45.62,19.79
Low SoC,1,50.92,68.75,71.54,46.53,-46.74,4.29,15.68
Deep Discharge Warning,1,44.03,52.45,63.03,48.06,-86.9,18.22,52.71
Harsh Cornering,0,28.6,32.13,40.53,65.04,-26.82,49.72,15.74
Harsh Cornering,0,31.69,33.37,42.18,70.99,-31.25,65.46,36.5
Consecutive Fast Charging,1,47.24,61.4,73.63,43.62,-46.6,3.93,6.99
Harsh Acceleration,0,34.65,41.13,49.11,72.13,-21.52,68.78,39.38
Deep Discharge Warning,1,56.15,63.01,78.43,44.55,-41.19,13.42,19.54
Deep Discharge Warning,1,47.84,51.87,68.81,48.98,-65.15,8.91,8.14
Deep Discharge Warning,1,51.63,61.66,69.91,49.68,-39.83,17.25,3.74
Harsh Acceleration,0,29.11,33.15,37.58,69.54,-20.81,65.12,21.81
OverSpeed,0,34.39,39.6,50.07,69.52,-6.25,62.98,35.79
Consecutive Fast Charging,1,48.24,65.51,63.06,46.77,-10.78,8.75,3.29
Harsh Cornering,0,27.2,31.2,34.19,69.0,-12.04,65.13,64.04
Harsh Braking,0,32.35,37.5,50.29,80.39,-25.98,97.41,29.16
Battery Under Voltage,1,37.31,49.61,64.55,48.64,-56.14,6.41,1.4
Battery Under Voltage,1,42.93,50.92,74.04,47.67,-41.71,2.93,20.72
Deep Discharge Warning,1,36.66,53.14,57.51,44.57,-70.55,2.9,1.6
Low SoC,1,48.76,63.87,88.15,45.21,-32.96,1.29,2.05
Harsh Braking,0,32.82,36.04,46.02,76.56,-25.94,86.15,20.31
Harsh Acceleration,0,31.25,31.25,44.6,68.6,-20.67,63.64,42.68
Thermal Overheat Surge,1,39.12,53.5,60.23,48.13,-47.3,5.52,19.95
Harsh Acceleration,0,32.49,34.67,37.41,73.22,-15.45,73.58,26.89
Harsh Cornering,0,21.88,29.39,30.08,71.37,-21.25,72.07,21.5
Harsh Braking,0,22.31,27.32,39.26,76.9,-1.63,87.95,38.48
Harsh Braking,0,32.49,34.67,51.15,76.38,-13.04,89.33,30.77
Deep Discharge Warning,1,53.4,62.68,67.83,45.37,-47.93,5.06,5.8
Harsh Braking,0,21.47,29.0,29.6,77.62,-11.47,89.33,25.07
Battery Under Voltage,1,36.04,47.87,56.78,48.2,-42.64,15.08,7.76
Consecutive Fast Charging,1,33.95,45.53,59.99,45.96,-33.32,9.81,4.89
Low SoC,1,54.53,65.02,69.42,45.64,-46.57,5.76,21.03
Harsh Braking,0,28.78,33.02,40.79,74.6,-9.1,85.88,40.71
Harsh Braking,0,29.01,36.11,55.25,66.4,-10.74,50.26,16.5
Deep Discharge Warning,1,43.75,45.1,76.7,47.71,-31.58,10.68,7.19
Consecutive Fast Charging,1,32.75,48.11,40.63,47.78,-80.98,0.46,14.06
Harsh Braking,0,32.15,39.44,36.6,62.52,-32.92,43.87,16.66
Harsh Braking,0,34.2,38.55,42.25,70.14,-2.56,64.72,40.72
Harsh Cornering,0,37.21,44.13,51.86,66.56,-19.29,49.84,38.53
Harsh Acceleration,0,39.57,47.35,50.12,76.14,-16.56,88.26,31.38
Harsh Braking,0,33.03,41.29,44.83,78.35,-12.19,92.43,37.49
Harsh Acceleration,0,25.34,32.14,39.61,70.98,-10.87,70.3,29.1
Low SoC,1,32.11,46.32,57.75,48.92,-71.66,8.97,18.85
Battery Under Voltage,1,44.94,57.6,71.22,47.65,-56.81,5.25,28.07
Harsh Acceleration,0,28.15,34.01,50.31,65.06,0.4,49.72,43.08
Harsh Acceleration,0,30.6,34.23,46.78,66.04,-20.41,50.61,24.07
Harsh Acceleration,0,29.82,35.34,47.26,70.29,-31.32,64.24,19.79
Harsh Cornering,0,31.08,36.48,31.36,71.48,-12.63,71.59,44.86
Deep Discharge Warning,1,47.1,48.14,64.61,47.12,-32.15,4.7,0.83
Harsh Acceleration,0,36.8,39.48,51.33,68.47,-7.25,64.25,36.32
Harsh Acceleration,0,30.98,33.44,48.05,67.11,3.15,55.13,14.98
Deep Discharge Warning,1,43.76,49.47,71.88,46.79,-39.86,14.53,31.67
OverSpeed,0,29.69,39.64,46.19,75.38,-11.87,82.13,39.26
Deep Discharge Warning,1,34.03,43.41,59.41,43.14,-51.65,2.23,6.98
Low SoC,1,36.73,47.95,64.93,48.72,-18.76,4.66,4.65
OverSpeed,0,32.77,38.16,47.3,75.67,-22.14,90.75,42.19
Harsh Cornering,0,36.48,43.62,54.65,78.82,-23.8,95.56,14.04
Low SoC,1,47.21,58.54,69.79,46.55,-47.66,5.79,9.97
OverSpeed,0,25.12,33.46,43.09,75.79,-1.09,80.03,21.38
Harsh Cornering,0,33.63,42.42,47.53,63.7,-13.85,46.41,38.87
Deep Discharge Warning,1,53.82,62.88,89.36,46.42,-56.91,3.33,2.85
Harsh Acceleration,0,28.82,36.54,37.76,66.93,-26.72,52.48,34.18
Deep Discharge Warning,1,34.49,43.64,64.1,46.52,-48.42,5.31,32.09
Harsh Braking,0,21.2,27.33,26.3,62.88,-6.43,40.26,24.88
Harsh Braking,0,32.04,33.03,39.55,66.13,-8.81,52.23,37.48
Harsh Braking,0,30.94,37.85,40.2,72.15,-25.21,71.18,27.54
Harsh Acceleration,0,40.27,46.08,47.23,70.15,-22.74,67.96,49.67
Deep Discharge Warning,1,36.41,46.72,53.73,45.22,-59.11,5.74,18.39
Harsh Cornering,0,30.29,36.36,44.83,75.05,-11.83,83.27,21.74
Harsh Braking,0,36.21,42.99,52.1,77.21,-27.2,85.41,24.28
OverSpeed,0,29.66,36.11,47.84,75.92,-17.22,84.57,31.39
Low SoC,1,37.71,39.27,53.22,46.91,-65.64,21.16,0.07
OverSpeed,0,32.22,34.7,50.01,67.63,-15.8,55.45,28.8
Deep Discharge Warning,1,51.48,62.66,71.52,47.39,-25.8,16.42,14.67
Deep Discharge Warning,1,32.51,46.16,36.93,48.63,-48.72,5.98,38.05
OverSpeed,0,25.21,31.33,35.08,75.96,-23.68,85.36,43.56
Harsh Acceleration,0,35.69,37.8,47.01,75.18,-17.54,81.5,37.3
Harsh Acceleration,0,30.78,35.25,32.89,76.89,-36.36,89.05,34.91
Consecutive Fast Charging,1,26.69,43.03,64.11,43.74,-49.04,5.78,18.29
Battery Under Voltage,1,45.88,54.86,64.62,50.6,-49.87,15.12,32.19
Harsh Braking,0,30.42,33.79,48.69,74.45,-3.87,79.38,63.18
Harsh Cornering,0,26.3,27.64,37.29,75.52,-16.52,86.5,39.45
Harsh Acceleration,0,25.16,27.95,27.16,76.84,-7.47,84.5,35.76
Harsh Braking,0,31.44,36.63,34.32,67.19,-26.18,51.53,36.34
Deep Discharge Warning,1,47.6,59.77,71.01,44.97,-58.76,3.6,13.57
Harsh Braking,0,39.97,46.75,42.16,77.78,-18.11,94.06,32.83
Harsh Braking,0,28.39,35.1,44.84,66.57,-13.2,48.86,30.41
Deep Discharge Warning,1,37.56,45.32,62.93,45.06,-45.27,5.87,9.72
Deep Discharge Warning,1,49.96,64.18,71.91,47.38,-25.85,9.7,9.66
Low SoC,1,48.1,60.43,75.95,46.62,-34.04,6.99,5.04
Deep Discharge Warning,1,55.29,67.71,78.76,45.63,-52.83,7.31,30.11
Harsh Cornering,0,36.1,42.07,36.48,66.35,-0.59,51.05,55.79
Harsh Braking,0,30.06,33.26,35.57,68.33,-24.74,56.63,38.18
Deep Discharge Warning,1,50.82,70.77,89.31,43.2,-73.26,1.8,21.27
Harsh Acceleration,0,33.01,38.87,37.17,65.27,-18.09,47.14,19.93
Harsh Braking,0,40.04,46.71,57.52,76.01,6.62,81.78,49.84
Deep Discharge Warning,1,43.52,64.72,68.96,45.12,-39.68,1.33,29.19
Harsh Acceleration,0,31.4,38.04,48.36,66.63,-15.77,56.77,24.14
Low SoC,1,45.61,58.53,71.8,48.49,-47.09,18.71,74.43
Deep Discharge Warning,1,43.99,67.71,66.23,44.33,-17.78,2.81,1.99
Harsh Braking,0,36.76,45.28,47.65,76.76,3.05,85.69,30.61
Deep Discharge Warning,1,43.29,57.97,76.78,49.61,-69.94,15.41,3.35
Harsh Braking,0,28.05,32.55,39.06,78.4,-34.99,95.65,35.66
Harsh Cornering,0,25.28,35.34,42.04,74.71,-17.96,79.35,43.79
Harsh Braking,0,35.56,40.09,48.18,70.95,-7.28,70.76,29.97
Harsh Braking,0,26.38,35.25,28.86,68.46,-13.67,61.13,42.74
Deep Discharge Warning,1,47.74,57.08,73.86,46.25,-33.43,3.14,36.89
Harsh Braking,0,29.5,36.63,42.56,70.84,-7.93,71.73,22.72
Harsh Braking,0,36.13,45.8,57.78,71.89,-13.33,71.87,45.39
Deep Discharge Warning,1,40.42,50.24,74.52,47.0,-34.11,13.23,44.71
OverSpeed,0,28.55,34.65,42.97,66.3,-32.16,58.57,5.41
Harsh Acceleration,0,27.33,34.47,38.94,68.43,-11.45,62.81,52.0
